name,bookings,rating,reviews,price,cuisine,location
Hachi Maki,5,3.8,9,2,Japanese,Upper West Side
Gray Hawk Grill,22,4.7,82,3,American,Upper East Side
Luna Rossa Ristorante,9,4.8,622,3,Italian,Upper East Side
P.F. Chang's - West New York,3,4.3,85,2,Asian,West New York
Maxwell's Central Park,NA,4.6,110,2,American,Harlem
San Matteo Pizzeria e Cucina,NA,4.7,200,2,Pizzeria,Upper East Side
Joanne Trattoria,15,4.1,2652,3,Italian,Lincoln Square
Anār Indian Cuisine,12,NA,NA,2,Indian,Upper West Side
Italianissimo,NA,4.7,461,2,Italian,Upper East Side
Sushi Damo,13,4.5,421,3,Japanese,Midtown West
Sojourn Restaurant,14,4.5,1696,2,Contemporary American,Upper East Side
The Greek Kitchen,NA,4.6,719,2,Greek,Hell's Kitchen
Eats,NA,4.3,684,2,American,Upper East Side
Bluebird London NYC,20,4.4,217,3,British,Columbus Circle
Osteria Laura NYC,16,4.3,15,3,Italian,Harlem
Avos Grill,NA,4.3,7,3,Mediterranean,Cliffside Park
Amor Cubano,NA,4.5,423,2,Cuban,Harlem
IL Carino Restaurant,NA,4.4,153,3,Italian,Upper East Side
Wa Jeal,NA,4.7,269,2,Chinese,Upper East Side
Renaissance Harlem,NA,4.7,187,2,American,Harlem
Sugar Bar,5,3.8,352,2,Soul food,Upper West Side
Dulce Vida Latin Bistro,NA,4.6,101,3,Latin American,Upper East Side
Thai72,NA,4.5,295,2,Thai,Upper West Side
Da Capo,5,3.9,12,2,Contemporary American,Upper West Side
El Paso Mexican Restaurants East Harlem,NA,4.2,6,3,Contemporary Mexican,East Harlem
Tandoor Oven,NA,4.4,14,2,Contemporary Indian,Upper East Side
Tarallucci e Vino - Upper West Side,5,4.5,142,3,Italian,Upper West Side
Santa Fe,NA,4.3,637,3,Mexican / Southwestern,Upper West Side
Cove Lounge,14,3.8,5,3,Southern,Harlem
Sapphire,11,4.0,1567,2,Indian,Lincoln Square
Sushi of Gari - Columbus Avenue,NA,4.6,969,4,Sushi,Upper West Side
Social 59 Eatery & Lounge,4,4.2,17,3,Latin American,West New York
Delizia 92,NA,4.4,79,2,Pizzeria,Yorkville
Enzo Bruni La Pizza Gourmet,NA,4.3,1,2,Pizzeria,Upper East Side
Lincoln Ristorante,NA,4.5,5625,3,Italian,Upper West Side
Cafe Du Soleil,11,4.5,1246,3,French,Upper West Side
Aunt Jake's Upper East Side,NA,4.7,50,3,Contemporary Italian,Upper East Side
Sushi Yasaka,27,4.8,2171,3,Japanese,Upper West Side
Sugar Factory Broadway,17,NA,NA,3,American,Upper West Side
Vicolina,NA,4.5,212,3,Italian,Upper East Side
Coppola's West,NA,4.8,1011,3,Italian,Upper West Side
Empire Rooftop @ Empire Hotel,NA,4.7,379,3,Bar / Lounge / Bottle Service,Lincoln Square
Sistina,16,4.8,887,3,Italian,Upper East Side
Izzy's Pizzeria,4,4.0,1,2,Pizzeria,Edgewater
Bareburger - Edgewater,NA,NA,NA,2,American,Edgewater
Sushi Kaito,NA,4.8,420,4,Sushi,Upper West Side
Pier 115 Bar and Grill,NA,4.2,703,2,American,Edgewater
New Amsterdam Burger and Bar,NA,4.5,54,3,American,Upper West Side
Sant Ambroeus - Madison Avenue,NA,4.7,667,4,Italian,Upper East Side
Atlas Kitchen,1,4.3,13,2,Chinese,Upper West Side
Snow Globes at NoHu Rooftop,NA,4.3,52,3,American,Weehawken
Test Early Access Updates Jan 20 (2),NA,NA,NA,2,American,Upper West Side
Bosino,1,4.6,3,2,Italian,Upper West Side
The Ellington,NA,4.3,274,2,American,Upper West Side
Kouzan,NA,4.2,476,2,Japanese,Upper West Side
Bareburger - Columbus Avenue,NA,3.0,1,2,Burgers,Upper West Side
Rumba Cubana - Guttenberg,3,4.6,160,2,Cuban,West New York
My Pizza Kebab,NA,NA,NA,2,Turkish,Cliffside Park
Marmaris Cafe,NA,4.5,63,2,Turkish,Edgewater
Alachi Masala,NA,4.0,65,2,Indian,Upper West Side
La Mirabelle,9,4.4,1558,3,French,Upper West Side
Bustan,NA,4.4,946,3,Mediterranean,Upper West Side
